Linha,Coluna,19-11-25 22:50,19-11-25 23:50
18,26,25.98,26.91
18,27,28.83,27.30
18,28,25.56,27.09
18,29,26.40,26.76
18,30,26.55,27.29
18,31,26.22,26.86
19,0,28.17,27.27
19,1,31.27,26.97
19,2,28.69,27.09
19,3,28.01,27.22
19,4,28.52,26.83
19,5,26.40,27.03
19,6,28.08,27.10
19,7,26.64,27.42
19,8,27.01,26.62
19,9,26.15,26.91
19,10,27.04,27.41
19,11,26.69,27.57
19,12,26.25,27.61
19,13,27.28,27.43
19,14,26.23,27.77
19,15,29.21,28.14
19,16,26.29,26.68
19,17,29.12,26.43
19,18,26.51,26.30
19,19,28.12,26.66
19,20,26.64,26.76
19,21,26.69,27.01
19,22,28.07,27.73
19,23,26.30,28.11
19,24,29.65,27.01
19,25,26.20,27.06
19,26,28.51,26.49
19,27,25.89,27.07
19,28,26.66,26.83
19,29,26.07,27.04
19,30,26.19,26.76
19,31,26.06,27.13
20,0,31.49,26.89
20,1,28.31,26.97
20,2,29.08,27.31
20,3,28.24,27.20
20,4,26.73,27.24
20,5,27.85,27.03
20,6,26.51,27.11
20,7,27.25,27.02
20,8,26.24,26.80
20,9,26.72,26.80
20,10,26.68,27.18
20,11,26.77,26.92
20,12,26.65,27.15
20,13,26.06,27.13
20,14,27.19,27.39
20,15,26.22,27.07
20,16,27.36,26.99
20,17,26.29,26.83
20,18,27.05,26.79
20,19,26.29,26.37
20,20,26.92,27.24
20,21,26.32,27.02
20,22,26.44,28.01
20,23,27.96,28.11
20,24,26.17,27.22
20,25,28.31,26.60
20,26,25.94,26.91
20,27,27.10,26.93
20,28,25.87,27.14
20,29,26.05,26.89
20,30,26.05,27.57
20,31,25.80,27.08
21,0,28.07,27.17
21,1,30.44,26.85
21,2,27.73,27.15
21,3,27.65,27.14
21,4,27.91,27.16
21,5,26.56,27.20
21,6,27.11,26.96
21,7,26.27,27.20
21,8,26.75,26.83
21,9,26.44,26.79
21,10,27.14,26.93
21,11,26.38,27.06
21,12,26.29,26.73
21,13,27.14,26.79
21,14,26.24,26.94
21,15,27.42,27.21
21,16,26.14,26.78
21,17,27.17,27.01
21,18,26.38,26.63
21,19,26.63,26.72
21,20,26.42,27.17
21,21,26.34,27.46
21,22,26.61,27.38
21,23,26.43,28.43
21,24,27.70,27.26
21,25,26.37,26.96
21,26,26.81,26.92
21,27,26.10,27.15
21,28,26.38,26.72
21,29,25.85,26.91
21,30,26.01,26.84
21,31,26.28,27.57
22,0,31.12,26.72
22,1,27.82,26.99
22,2,28.97,27.51
22,3,27.36,26.99
22,4,26.76,26.81
22,5,27.41,27.05
22,6,26.62,27.27
22,7,27.00,27.09
22,8,26.24,26.97
22,9,27.01,27.09
22,10,26.59,26.87
22,11,26.96,26.98
22,12,27.82,27.02
22,13,26.06,26.32
22,14,28.86,27.26
22,15,26.40,26.64
22,16,28.21,27.10
22,17,26.31,26.75
22,18,27.05,27.08
22,19,26.62,26.84
22,20,26.26,27.09
22,21,26.74,27.42
22,22,26.18,27.75
22,23,26.69,27.26
22,24,26.12,27.25
22,25,26.84,27.09
22,26,26.17,26.82
22,27,26.54,27.23
22,28,26.77,27.02
22,29,26.46,26.77
22,30,26.31,27.71
22,31,26.16,27.11
23,0,27.79,25.82
23,1,30.17,26.94
23,2,27.40,27.24
23,3,27.73,27.38
23,4,27.04,27.44
23,5,27.02,27.00
23,6,26.76,27.04
23,7,26.77,27.38
23,8,26.56,26.99
23,9,26.27,27.15
23,10,26.80,26.50
23,11,26.73,26.85
23,12,26.89,26.65
23,13,28.11,27.09
23,14,26.26,26.67
23,15,29.19,27.09
23,16,26.36,26.82
23,17,27.76,27.01
23,18,26.45,26.97
23,19,26.72,27.18
23,20,27.24,26.96
23,21,26.25,27.47
23,22,27.14,27.03
23,23,26.15,27.12
23,24,26.68,26.69
23,25,26.23,27.02
23,26,26.15,26.36
23,27,26.51,26.92
23,28,26.10,26.81
23,29,26.42,26.51
23,30,25.73,27.17
23,31,26.36,27.34
